layout_number,room_length_ft,room_breadth_ft,room_area_sqft,room_setup_type,num_windows,door_wall,window_wall_1,window_wall_2,total_price_npr,bed,table,chair,wardrobe,bookshelf,bedsidetable,dresser,dustbin,mirror
263,13.75,13,178.75,luxury,2,north,east,west,36000,db,lt,mc,hw,NA,bt,dr,di,NA
264,11.25,9.5,106.88,budget,1,east,south,NA,10800,sb,mt,pc,NA,NA,NA,NA,di,NA
265,14,13,182,luxury,2,south,east,west,35000,db,lt,mc,NA,NA,bt,dr,di,NA
266,13.5,9,121.5,budget,1,west,east,NA,15300,sb,mt,pc,fw,bb,NA,NA,di,mr
267,10.75,9.75,104.81,budget,1,east,NA,west,13300,sb,mt,pc,hw,NA,NA,NA,di,mr
268,12.5,11.5,143.75,standard,1,west,south,NA,11800,sb,lt,pc,NA,NA,NA,NA,di,NA
269,14.5,11.5,166.75,standard,2,west,east,south,18300,db,lt,pc,fw,NA,NA,NA,di,mr
270,11,10.75,118.25,luxury,2,south,east,west,67500,db,mt,ac,ww,bb,bt,dr,di,NA
271,12.5,10.25,128.12,standard,2,south,east,north,18000,db,lt,mc,fw,NA,NA,NA,di,NA
272,11.25,9.5,106.88,standard,1,north,west,NA,16800,db,mt,pc,fw,NA,NA,NA,di,mr
273,15,9.75,146.25,standard,2,south,west,east,20000,db,lt,mc,NA,wb,NA,NA,di,NA
274,14,14,196,luxury,2,south,north,west,40000,db,lt,mc,ww,wb,bt,NA,di,mr
275,11.25,9.5,106.88,luxury,1,east,NA,north,38500,db,lt,ac,NA,NA,bt,NA,di,mr
276,14,13,182,luxury,2,north,west,south,42500,db,lt,ac,ww,NA,bt,NA,di,mr
277,13.75,10.75,147.81,luxury,1,east,NA,west,41500,db,lt,ac,NA,NA,bt,dr,di,NA
278,14.75,9.75,143.81,luxury,1,west,north,NA,59000,db,mt,ac,ww,wb,bt,dr,di,NA
279,14,13,182,budget,2,west,south,north,14800,sb,lt,pc,hw,NA,NA,NA,di,mr
280,12,9.5,114,standard,1,west,north,NA,29800,sb,lt,pc,ww,bb,NA,NA,di,mr
281,12.5,10.25,128.12,standard,1,south,NA,west,17000,db,mt,mc,hw,NA,NA,NA,di,mr
282,13.25,10.5,139.12,budget,1,west,south,NA,22000,db,lt,mc,fw,wb,NA,NA,di,NA
283,13,9.75,126.75,luxury,2,east,north,west,51000,db,lt,mc,ww,wb,bt,NA,di,mr
284,11.75,10.75,126.31,budget,2,east,north,west,13300,sb,mt,pc,fw,NA,NA,NA,di,NA
285,14,11.25,157.5,budget,2,west,north,east,12300,sb,mt,pc,hw,NA,NA,NA,di,NA
286,13.75,9.75,134.06,luxury,1,east,north,NA,36000,db,mt,ac,NA,NA,NA,dr,di,NA
287,12.75,12.75,162.56,budget,2,south,west,east,12300,sb,lt,pc,NA,NA,NA,NA,di,NA
288,10.75,10.75,115.56,standard,2,east,south,west,19000,db,lt,mc,hw,bb,NA,NA,di,NA
289,11.75,11.75,138.06,standard,1,south,NA,north,19500,sb,lt,mc,fw,wb,NA,NA,di,NA
290,12,10.25,123,budget,1,west,east,NA,17000,sb,lt,mc,hw,bb,NA,NA,di,mr
291,14.75,13.25,195.44,standard,2,north,east,west,12500,sb,mt,mc,NA,NA,NA,NA,di,mr
292,12.75,10.5,133.88,luxury,2,south,north,east,50000,db,lt,mc,ww,wb,bt,NA,di,NA
293,12.75,9.75,124.31,standard,2,east,west,south,14000,sb,mt,mc,fw,NA,NA,NA,di,NA
294,13.5,12.5,168.75,luxury,2,west,east,south,45500,db,lt,mc,ww,NA,NA,dr,di,NA
295,15,13.5,202.5,standard,2,west,north,east,18800,db,lt,pc,fw,bb,NA,NA,di,NA
296,12.25,9.5,116.38,standard,1,south,north,NA,14300,sb,mt,pc,fw,NA,NA,NA,di,mr
297,13.25,9.5,125.88,budget,1,south,NA,east,17000,db,mt,mc,NA,bb,NA,NA,di,mr
298,12.75,10.25,130.69,luxury,1,north,west,NA,51000,db,mt,ac,ww,NA,bt,NA,di,NA
299,13.75,12.25,168.44,budget,2,west,east,south,14800,sb,lt,pc,NA,bb,NA,NA,di,mr
300,10.75,10.75,115.56,luxury,2,west,east,north,56500,db,lt,ac,ww,NA,bt,dr,di,NA
301,11.25,10.75,120.94,luxury,2,west,south,north,55500,db,mt,mc,ww,NA,NA,dr,di,NA
302,12.25,11.5,140.88,luxury,2,east,south,west,50500,db,mt,ac,NA,NA,bt,dr,di,NA
303,11,10.25,112.75,budget,1,north,NA,south,29800,db,mt,pc,ww,NA,NA,NA,di,mr
304,12.25,12.25,150.06,budget,1,east,south,NA,29000,sb,mt,mc,ww,bb,NA,NA,di,mr
305,14.25,11.75,167.44,luxury,2,north,west,south,37500,db,mt,mc,ww,wb,bt,NA,di,NA
306,11.5,11,126.5,luxury,2,west,east,south,42000,db,lt,ac,ww,wb,NA,NA,di,mr
307,14.25,10.75,153.19,budget,1,west,NA,north,22000,db,mt,mc,fw,wb,NA,NA,di,mr
308,13,11.25,146.25,standard,1,west,south,NA,16300,db,lt,pc,hw,NA,NA,NA,di,NA
309,13.75,11.75,161.56,budget,2,north,east,west,12800,sb,mt,pc,hw,NA,NA,NA,di,mr
310,14.5,10,145,budget,1,south,west,NA,13500,sb,mt,mc,NA,bb,NA,NA,di,mr
311,10,9.75,97.5,standard,1,east,NA,south,18000,sb,lt,mc,fw,bb,NA,NA,di,mr
312,13.25,9.75,129.19,luxury,2,west,north,south,33500,db,lt,mc,ww,bb,NA,NA,di,mr
313,12.25,10.25,125.56,budget,2,south,north,east,17000,sb,mt,mc,hw,wb,NA,NA,di,NA
314,9.75,9.25,90.19,budget,1,north,south,NA,13300,sb,mt,pc,fw,NA,NA,NA,di,NA
315,13.75,12.75,175.31,standard,2,west,north,south,18800,db,lt,pc,fw,NA,NA,NA,di,mr
316,14.75,11.25,165.94,standard,2,east,west,south,19000,db,lt,mc,fw,NA,NA,NA,di,mr
317,12.75,11.25,143.44,luxury,2,north,south,west,46000,db,lt,mc,ww,NA,NA,dr,di,NA
318,13.75,13.25,182.19,standard,2,west,north,south,15800,db,mt,pc,fw,NA,NA,NA,di,NA
319,14,13,182,budget,2,east,south,north,18300,db,mt,pc,NA,wb,NA,NA,di,mr
320,14.75,10.25,151.19,standard,2,west,north,south,32500,db,lt,mc,ww,bb,NA,NA,di,NA
321,13.25,12,159,budget,1,east,NA,west,18500,db,mt,mc,NA,wb,NA,NA,di,NA
322,14.25,13,185.25,standard,2,west,north,east,29000,db,lt,ac,hw,wb,NA,NA,di,mr
323,14.5,9.5,137.75,budget,2,north,west,east,14300,sb,mt,pc,fw,NA,NA,NA,di,mr
324,12,10.25,123,luxury,2,north,west,south,36000,db,lt,mc,ww,NA,bt,NA,di,mr
325,14.75,13,191.75,budget,2,east,south,north,13500,sb,mt,mc,hw,NA,NA,NA,di,mr
326,14,13,182,standard,2,north,east,south,20500,db,lt,mc,fw,bb,NA,NA,di,mr
327,10,9.75,97.5,standard,1,north,NA,west,26000,db,lt,ac,fw,NA,NA,NA,di,mr
328,12,11.75,141,budget,1,west,east,NA,15300,db,mt,pc,hw,NA,NA,NA,di,NA
329,15,12.5,187.5,standard,2,west,east,north,13800,db,mt,pc,NA,NA,NA,NA,di,NA
330,13.5,11.5,155.25,luxury,2,east,west,south,39500,db,mt,ac,NA,wb,NA,dr,di,NA
331,14,13.75,192.5,standard,2,east,north,south,15800,db,lt,pc,NA,NA,NA,NA,di,mr
332,11.5,10.5,120.75,luxury,2,south,east,west,22500,db,mt,ac,NA,bb,NA,NA,di,NA
333,11.5,10,115,standard,1,west,NA,north,36000,db,lt,mc,ww,wb,NA,NA,di,mr
334,11.25,10.5,118.12,budget,2,south,east,west,18800,db,mt,pc,fw,bb,NA,NA,di,mr
335,10,9.25,92.5,budget,1,east,NA,west,14800,sb,mt,pc,hw,bb,NA,NA,di,mr
336,15,13.25,198.75,luxury,2,west,north,east,37000,db,lt,ac,NA,NA,NA,dr,di,NA
337,13,9,117,budget,1,north,NA,west,17300,sb,lt,pc,fw,bb,NA,NA,di,mr
338,14.25,13,185.25,standard,2,north,west,east,14500,sb,lt,mc,hw,NA,NA,NA,di,NA
339,13.25,9.25,122.56,standard,1,east,NA,south,16000,db,mt,mc,hw,NA,NA,NA,di,NA
340,11,9.75,107.25,luxury,1,south,north,NA,56500,db,mt,ac,ww,bb,bt,dr,di,NA
341,14.75,11,162.25,budget,2,west,north,east,15300,sb,lt,pc,hw,bb,NA,NA,di,NA
342,12.75,10.75,137.06,standard,2,north,west,south,18500,db,lt,mc,NA,bb,NA,NA,di,mr
343,12.25,9.25,113.31,budget,1,south,NA,west,11800,sb,mt,pc,NA,NA,NA,NA,di,mr
344,14,10.75,150.5,budget,1,north,east,NA,12800,sb,mt,pc,hw,NA,NA,NA,di,mr
345,14.5,11,159.5,standard,1,north,NA,west,19000,db,lt,mc,fw,NA,NA,NA,di,mr
346,10.5,9,94.5,budget,1,north,east,NA,15800,db,mt,pc,hw,NA,NA,NA,di,mr
347,14.5,14.5,210.25,budget,2,west,east,north,15300,sb,lt,pc,hw,bb,NA,NA,di,NA
348,11.25,10.25,115.31,luxury,2,north,west,east,41000,db,mt,ac,ww,NA,bt,NA,di,mr
349,13.25,9.25,122.56,budget,1,east,NA,south,21000,db,mt,mc,hw,wb,NA,NA,di,mr
350,11.75,11.5,135.12,luxury,2,north,east,west,42500,db,mt,ac,fw,NA,bt,dr,di,NA
351,15,11.75,176.25,standard,2,west,south,east,12500,sb,mt,mc,NA,NA,NA,NA,di,mr
352,11.5,9.75,112.12,budget,1,east,north,NA,13000,sb,mt,mc,NA,bb,NA,NA,di,NA
353,12.25,9.25,113.31,budget,1,north,NA,east,18500,db,mt,mc,hw,bb,NA,NA,di,mr
354,12,11.25,135,budget,1,south,east,NA,15800,sb,lt,pc,fw,NA,NA,NA,di,mr
355,11.25,11,123.75,standard,1,east,NA,north,19500,db,mt,mc,hw,wb,NA,NA,di,NA
356,12.75,11.75,149.81,standard,2,west,north,south,17800,db,lt,pc,fw,NA,NA,NA,di,NA
357,12.75,11,140.25,standard,1,north,NA,south,20000,db,lt,mc,hw,bb,NA,NA,di,mr
358,9.75,9.75,95.06,budget,1,east,west,NA,14000,sb,mt,mc,hw,NA,NA,NA,di,mr
359,13.25,13,172.25,budget,2,south,west,east,15500,sb,lt,mc,hw,NA,NA,NA,di,mr
360,14.25,14,199.5,standard,2,west,east,north,34500,db,mt,mc,ww,wb,NA,NA,di,mr
361,15,11.25,168.75,budget,2,west,east,south,16300,db,mt,pc,hw,NA,NA,NA,di,mr
362,11.5,10.75,123.62,budget,1,west,south,NA,17300,sb,lt,pc,NA,wb,NA,NA,di,mr
363,14.25,12,171,luxury,2,south,east,west,60300,kb,lt,pc,ww,NA,bt,dr,di,NA
364,14.5,11.75,170.38,luxury,2,south,east,west,49500,db,mt,ac,ww,bb,NA,NA,di,mr
365,13.5,12.5,168.75,standard,2,west,north,east,15300,sb,lt,pc,hw,bb,NA,NA,di,NA
366,13,13,169,luxury,2,north,south,west,33000,kb,mt,mc,fw,NA,bt,NA,di,mr
367,13.75,10,137.5,standard,2,east,west,north,18800,db,mt,pc,fw,bb,NA,NA,di,mr
368,14.75,12,177,standard,2,south,west,east,30000,sb,lt,mc,ww,bb,NA,NA,di,mr
369,14.75,11,162.25,budget,2,north,south,west,12500,sb,mt,mc,NA,NA,NA,NA,di,mr
370,11.75,10.5,123.38,luxury,2,south,east,north,47000,db,lt,ac,hw,wb,bt,dr,di,NA
371,13.75,11.75,161.56,budget,2,east,north,south,13300,sb,mt,pc,fw,NA,NA,NA,di,NA
372,9.5,9.5,90.25,standard,1,east,north,NA,18000,db,mt,mc,fw,NA,NA,NA,di,mr
373,12,11.25,135,standard,1,north,NA,east,16800,db,mt,pc,hw,bb,NA,NA,di,NA
374,12.75,9.75,124.31,budget,1,west,east,NA,19300,db,mt,pc,hw,wb,NA,NA,di,NA
375,14.75,14.5,213.88,budget,2,north,east,west,17300,sb,lt,pc,fw,bb,NA,NA,di,mr
376,14.25,13.5,192.38,luxury,2,east,north,south,42500,db,mt,ac,fw,NA,bt,dr,di,NA
377,15,11.75,176.25,standard,2,west,east,north,23500,db,mt,ac,fw,NA,NA,NA,di,NA
378,14.5,10,145,budget,2,south,west,east,14300,sb,mt,pc,hw,bb,NA,NA,di,mr
379,11.75,10,117.5,luxury,2,west,north,south,30500,db,lt,ac,fw,bb,bt,NA,di,NA
380,13.5,11.25,151.88,luxury,2,west,south,north,53500,db,lt,ac,ww,NA,bt,NA,di,mr
381,14.75,11,162.25,budget,2,west,north,south,16500,sb,mt,mc,fw,bb,NA,NA,di,mr
382,12,9,108,budget,1,north,south,NA,14300,sb,lt,pc,NA,bb,NA,NA,di,mr
383,14.5,9.75,141.38,budget,1,west,NA,south,15300,db,mt,pc,NA,bb,NA,NA,di,NA
384,14.5,13.25,192.12,budget,2,east,west,south,17300,db,lt,pc,fw,NA,NA,NA,di,NA
385,12.25,12.25,150.06,budget,1,south,NA,west,17000,sb,mt,mc,hw,wb,NA,NA,di,NA
386,13.75,12,165,budget,2,north,east,south,14300,sb,mt,pc,fw,NA,NA,NA,di,mr
387,12.5,9.75,121.88,luxury,2,west,east,north,38500,db,lt,ac,NA,NA,bt,NA,di,mr
388,14.75,9,132.75,standard,2,east,west,north,27800,sb,lt,pc,ww,NA,NA,NA,di,mr
389,14.25,12.25,174.56,budget,2,north,south,east,16300,db,mt,pc,hw,bb,NA,NA,di,NA
390,13,11.25,146.25,budget,1,east,south,NA,14000,sb,mt,mc,hw,NA,NA,NA,di,mr
391,12.25,10.5,128.62,luxury,2,west,north,south,42500,db,lt,ac,ww,NA,bt,NA,di,mr
392,15,9,135,standard,1,north,south,NA,29000,db,mt,mc,ww,NA,NA,NA,di,NA
393,12.25,11,134.75,budget,1,north,NA,south,13300,sb,mt,pc,hw,bb,NA,NA,di,NA
394,14,11.75,164.5,standard,2,west,north,east,31500,db,lt,mc,ww,NA,NA,NA,di,mr
395,13,12,156,budget,1,west,NA,south,15500,sb,lt,mc,hw,NA,NA,NA,di,mr
396,12.5,11.25,140.62,budget,1,east,west,NA,15800,sb,lt,pc,fw,NA,NA,NA,di,mr
397,15,11.5,172.5,luxury,2,west,north,south,56500,db,lt,ac,fw,bb,bt,dr,di,NA
398,10.5,10,105,standard,1,south,north,NA,13000,sb,mt,mc,NA,bb,NA,NA,di,NA
399,14.75,10.5,154.88,budget,2,north,east,west,17300,db,mt,pc,fw,NA,NA,NA,di,mr
400,14,9,126,standard,1,south,west,NA,17300,sb,lt,pc,fw,bb,NA,NA,di,mr
401,15,11.75,176.25,standard,2,north,south,east,17500,db,lt,mc,hw,NA,NA,NA,di,NA
402,11.5,11.5,132.25,budget,1,north,south,NA,17300,db,mt,pc,fw,NA,NA,NA,di,mr
403,14.5,12.5,181.25,budget,2,west,south,north,12000,sb,mt,mc,NA,NA,NA,NA,di,mr
404,13,12.5,162.5,luxury,2,north,east,west,52000,db,lt,ac,ww,NA,NA,dr,di,NA
405,14,9.75,136.5,budget,2,north,south,east,17000,db,mt,mc,hw,NA,NA,NA,di,mr
406,14,11.25,157.5,luxury,2,east,south,north,60500,db,lt,mc,ww,wb,NA,dr,di,NA
407,15,13.5,202.5,standard,2,west,east,south,26000,sb,mt,mc,ww,NA,NA,NA,di,NA
408,14.25,14,199.5,budget,2,south,west,east,13800,sb,mt,pc,fw,NA,NA,NA,di,mr
409,9.5,9.25,87.88,luxury,1,north,NA,west,51500,db,lt,mc,ww,bb,bt,dr,di,NA
410,15,13.25,198.75,budget,2,west,south,north,13500,sb,mt,mc,NA,bb,NA,NA,di,mr
411,14.75,12.75,188.06,luxury,2,south,west,east,66000,kb,mt,ac,ww,NA,bt,dr,di,NA
412,14.25,9.25,131.81,standard,1,west,north,NA,18000,db,lt,mc,fw,NA,NA,NA,di,NA
413,10.5,10.25,107.62,budget,1,north,NA,west,17300,db,lt,pc,hw,NA,NA,NA,di,mr
414,13.75,10.5,144.38,budget,1,south,west,NA,17300,db,mt,pc,fw,NA,NA,NA,di,mr
415,13,9.5,123.5,luxury,2,west,north,east,55000,db,mt,ac,ww,NA,bt,dr,di,NA
416,14.25,14,199.5,standard,2,west,north,south,18000,sb,mt,mc,fw,wb,NA,NA,di,NA
417,12,11,132,standard,1,north,NA,south,17000,db,lt,mc,NA,NA,NA,NA,di,mr
418,11.25,10.5,118.12,standard,2,south,east,north,16300,db,mt,pc,fw,NA,NA,NA,di,NA
419,11.5,9.75,112.12,luxury,2,south,west,north,24000,db,lt,mc,hw,bb,bt,NA,di,mr
420,14.75,12.5,184.38,luxury,2,south,east,north,48300,kb,mt,pc,ww,wb,bt,NA,di,mr
421,14,11.5,161,luxury,2,north,east,south,50800,db,lt,pc,ww,bb,bt,dr,di,NA
422,11,9.25,101.75,standard,1,south,east,NA,17500,db,lt,mc,hw,NA,NA,NA,di,NA
423,14,11.25,157.5,budget,1,west,NA,south,14800,sb,lt,pc,hw,NA,NA,NA,di,mr
424,14,10.75,150.5,budget,1,east,north,NA,10800,sb,mt,pc,NA,NA,NA,NA,di,NA
425,14.25,12.25,174.56,luxury,2,west,east,south,55000,db,mt,ac,ww,NA,bt,dr,di,NA
426,14.25,10.5,149.62,luxury,1,east,south,NA,44000,db,lt,ac,ww,bb,bt,NA,di,mr
427,14,13.25,185.5,standard,2,north,east,west,18500,db,lt,mc,hw,NA,NA,NA,di,mr
428,11.5,11,126.5,budget,2,south,east,north,19300,db,lt,pc,hw,bb,NA,NA,di,mr
429,14.5,9.5,137.75,budget,1,north,NA,east,17300,sb,mt,pc,hw,wb,NA,NA,di,mr
430,14.5,11.25,163.12,standard,2,north,south,west,23000,db,lt,mc,fw,wb,NA,NA,di,mr
431,13.5,10.75,145.12,budget,1,west,NA,east,15000,sb,mt,mc,NA,wb,NA,NA,di,NA
432,13,10.25,133.25,luxury,2,west,south,north,39000,db,lt,ac,ww,bb,NA,NA,di,NA
433,12,12,144,budget,1,west,NA,north,15000,db,mt,mc,NA,NA,NA,NA,di,mr
434,12.5,10.5,131.25,standard,1,south,north,NA,21300,db,mt,pc,fw,wb,NA,NA,di,mr
435,14.5,12.5,181.25,luxury,2,north,west,east,47500,kb,lt,mc,hw,NA,bt,dr,di,NA
436,12.5,9.5,118.75,budget,1,south,west,NA,14000,sb,lt,mc,NA,NA,NA,NA,di,mr
437,15,10,150,standard,2,west,south,east,17300,db,mt,pc,fw,NA,NA,NA,di,mr
438,10.5,10.25,107.62,budget,1,west,east,NA,14800,sb,mt,pc,hw,bb,NA,NA,di,mr
439,13.25,11.75,155.69,standard,2,west,east,north,19500,db,lt,mc,hw,bb,NA,NA,di,mr
440,14.75,12,177,budget,2,north,south,east,17300,db,mt,pc,hw,bb,NA,NA,di,mr
441,14.5,11.5,166.75,budget,2,west,north,east,14300,sb,mt,pc,fw,NA,NA,NA,di,mr
442,11.75,9.25,108.69,luxury,1,east,west,NA,50000,db,lt,ac,hw,NA,NA,dr,di,NA
443,14.25,13.25,188.81,standard,2,east,west,south,29000,db,mt,mc,ww,NA,NA,NA,di,NA
444,14.5,13.25,192.12,budget,2,east,south,west,16800,db,mt,pc,hw,bb,NA,NA,di,NA
445,9.75,9.25,90.19,standard,1,south,NA,east,19500,sb,lt,mc,fw,wb,NA,NA,di,NA
446,13,9.75,126.75,standard,2,east,south,west,28000,sb,lt,mc,ww,NA,NA,NA,di,NA
447,15,12.75,191.25,budget,2,east,north,west,13800,sb,mt,pc,fw,NA,NA,NA,di,mr
448,9.75,9.5,92.62,budget,1,north,east,NA,14800,sb,mt,pc,fw,bb,NA,NA,di,NA
449,13,9.5,123.5,budget,1,north,NA,west,15000,sb,mt,mc,hw,bb,NA,NA,di,mr
450,12,9.5,114,budget,1,east,north,NA,16300,db,mt,pc,hw,NA,NA,NA,di,mr
451,12.25,12,147,luxury,2,east,west,north,46500,db,mt,ac,fw,wb,bt,dr,di,NA
452,11.5,10,115,standard,1,south,east,NA,28000,sb,mt,mc,ww,bb,NA,NA,di,NA
453,12,10.5,126,budget,2,east,north,south,17000,db,mt,mc,fw,NA,NA,NA,di,NA
454,13.75,10.5,144.38,budget,1,north,west,NA,14300,sb,mt,pc,fw,NA,NA,NA,di,mr
455,14.25,10.25,146.06,standard,1,south,NA,north,32800,db,lt,pc,ww,bb,NA,NA,di,mr
456,14.25,12,171,luxury,2,west,north,south,47000,kb,mt,mc,fw,NA,bt,dr,di,NA
457,14,14,196,luxury,2,west,north,east,45500,db,lt,ac,NA,wb,bt,dr,di,NA
458,14.5,13.75,199.38,luxury,2,north,south,west,38000,db,lt,ac,ww,NA,NA,NA,di,mr
459,12.5,9.5,118.75,standard,2,west,south,east,32300,db,lt,pc,ww,bb,NA,NA,di,mr
460,14.5,12.75,184.88,budget,2,west,north,east,13800,sb,mt,pc,hw,bb,NA,NA,di,NA
461,11.75,9.5,111.62,budget,2,north,east,west,11800,sb,mt,pc,NA,NA,NA,NA,di,mr
462,12,9.5,114,budget,1,south,west,NA,15800,sb,lt,pc,fw,NA,NA,NA,di,mr
463,10.5,10.25,107.62,standard,1,east,NA,west,15000,sb,mt,mc,fw,bb,NA,NA,di,NA
464,10.25,9.75,99.94,luxury,1,east,north,NA,30000,db,lt,ac,fw,NA,bt,NA,di,mr
465,13.75,9.25,127.19,budget,1,west,NA,east,18300,sb,mt,pc,fw,wb,NA,NA,di,mr
466,13.5,9.75,131.62,budget,1,east,west,NA,18000,db,mt,mc,fw,NA,NA,NA,di,mr
467,13.25,10,132.5,standard,1,east,NA,north,16500,sb,lt,mc,fw,NA,NA,NA,di,mr
468,14,9,126,budget,1,west,north,NA,12800,sb,mt,pc,NA,bb,NA,NA,di,mr
469,13,10,130,luxury,2,north,east,west,33000,db,lt,ac,NA,NA,NA,NA,di,NA
470,13.75,11,151.25,luxury,2,west,south,north,61000,db,lt,mc,ww,NA,bt,dr,di,NA
471,13,11.75,152.75,standard,2,north,south,west,13000,sb,mt,mc,hw,NA,NA,NA,di,NA
472,13.5,11.25,151.88,luxury,1,north,west,NA,65000,db,lt,mc,ww,wb,bt,dr,di,NA
473,12,9.5,114,budget,1,east,NA,west,18500,db,mt,mc,NA,wb,NA,NA,di,NA
474,13.25,9,119.25,budget,1,north,west,NA,26800,sb,mt,pc,ww,bb,NA,NA,di,NA
475,12.75,12,153,budget,2,east,south,north,25300,sb,mt,pc,ww,NA,NA,NA,di,NA
476,14,12.5,175,budget,2,east,north,south,20000,db,lt,mc,fw,bb,NA,NA,di,NA
477,13.75,10.25,140.94,budget,1,east,NA,west,25800,sb,mt,pc,ww,NA,NA,NA,di,NA
478,11.5,9.5,109.25,luxury,1,east,north,NA,63000,db,lt,ac,ww,NA,NA,dr,di,NA
479,10,9,90,standard,1,west,NA,east,18000,db,lt,mc,fw,NA,NA,NA,di,NA
480,15,14.75,221.25,standard,2,north,east,south,26000,db,lt,ac,fw,NA,NA,NA,di,mr
481,10,9.5,95,budget,1,east,NA,west,13800,sb,mt,pc,fw,NA,NA,NA,di,mr
482,14,12,168,standard,2,west,east,south,15300,db,mt,pc,NA,bb,NA,NA,di,NA
483,13.75,13.75,189.06,budget,2,west,north,east,16500,db,mt,mc,hw,NA,NA,NA,di,mr
484,14.25,9.75,138.94,luxury,1,north,west,NA,34500,db,lt,mc,fw,NA,bt,NA,di,mr
485,14.75,11,162.25,budget,2,west,south,east,15800,sb,mt,pc,hw,wb,NA,NA,di,NA
486,13,12.5,162.5,luxury,2,south,west,east,43000,db,lt,ac,hw,wb,NA,dr,di,NA
487,14.5,10,145,standard,1,north,NA,east,15000,sb,mt,mc,fw,bb,NA,NA,di,NA
488,13.75,11,151.25,standard,2,east,north,south,18000,db,mt,mc,fw,NA,NA,NA,di,mr
489,13.5,13.5,182.25,budget,2,east,north,west,14500,sb,lt,mc,hw,NA,NA,NA,di,NA
490,14,12.75,178.5,budget,2,west,north,east,18300,sb,mt,pc,fw,wb,NA,NA,di,mr
491,14,12.75,178.5,standard,2,south,east,west,34000,db,mt,mc,ww,wb,NA,NA,di,mr
492,13.5,11.75,158.62,budget,1,east,south,NA,18500,sb,mt,mc,fw,wb,NA,NA,di,mr
493,13.75,9.25,127.19,luxury,2,west,east,north,69500,db,mt,ac,ww,wb,bt,dr,di,NA
494,14.75,12,177,budget,2,west,north,east,14000,sb,mt,mc,hw,bb,NA,NA,di,NA
495,12.25,9.5,116.38,standard,1,south,NA,north,34000,sb,mt,ac,ww,NA,NA,NA,di,mr
496,11.75,11.25,132.19,budget,1,east,south,NA,20300,db,lt,pc,fw,bb,NA,NA,di,mr
497,14.25,13.25,188.81,budget,2,east,north,south,13000,sb,mt,mc,hw,NA,NA,NA,di,NA
498,11.5,9.75,112.12,budget,1,north,west,NA,18000,db,mt,mc,fw,bb,NA,NA,di,NA
499,14.5,9.25,134.12,budget,2,west,east,south,19300,db,lt,pc,hw,bb,NA,NA,di,mr
500,15,13.5,202.5,budget,2,east,west,south,11500,sb,mt,mc,NA,NA,NA,NA,di,NA
501,13,12.75,165.75,budget,2,west,south,east,29300,db,mt,pc,ww,NA,NA,NA,di,mr
502,14,11.25,157.5,budget,2,south,east,north,16800,sb,mt,pc,hw,wb,NA,NA,di,mr
503,14.25,14.25,203.06,budget,2,west,east,south,11800,sb,mt,pc,hw,NA,NA,NA,di,NA
504,9.75,9.25,90.19,standard,1,west,east,NA,31500,sb,mt,mc,ww,wb,NA,NA,di,mr
505,10,10,100,budget,1,south,NA,north,15300,db,mt,pc,hw,NA,NA,NA,di,NA
506,12.75,11.25,143.44,standard,1,west,east,NA,13000,sb,mt,mc,hw,NA,NA,NA,di,NA
507,12.5,12.25,153.12,budget,1,north,NA,east,15500,sb,mt,mc,fw,bb,NA,NA,di,NA
508,14.5,10.5,152.25,standard,1,south,north,NA,21300,db,mt,pc,fw,wb,NA,NA,di,mr
509,13.5,11.25,151.88,budget,1,south,NA,west,11800,sb,mt,pc,NA,NA,NA,NA,di,mr
510,13,10.75,139.75,budget,1,west,east,NA,10300,sb,mt,pc,NA,NA,NA,NA,di,NA
511,11.25,10.25,115.31,budget,2,east,west,south,14500,sb,mt,mc,hw,bb,NA,NA,di,NA
512,14.75,12,177,luxury,2,north,west,east,56500,db,lt,ac,ww,NA,bt,dr,di,NA
513,10,9,90,luxury,1,south,NA,east,29500,db,lt,ac,fw,NA,bt,NA,di,mr
514,12.25,11.75,143.94,luxury,2,north,south,west,30000,db,lt,ac,fw,NA,bt,NA,di,mr
515,13.75,12.5,171.88,standard,2,west,south,north,39000,db,lt,ac,ww,bb,NA,NA,di,NA
516,13.75,11.5,158.12,budget,1,east,north,NA,12800,sb,mt,pc,NA,bb,NA,NA,di,mr
517,10.5,10.5,110.25,luxury,2,east,west,south,38500,db,lt,mc,ww,wb,bt,NA,di,NA
518,14.75,12.75,188.06,luxury,2,east,south,north,49300,db,mt,pc,ww,bb,bt,dr,di,NA
519,12,10.5,126,budget,2,west,east,north,13300,sb,lt,pc,hw,NA,NA,NA,di,NA
520,13.75,11.75,161.56,budget,2,west,north,south,18500,db,lt,mc,hw,bb,NA,NA,di,NA
521,9.5,9,85.5,budget,1,east,NA,west,28300,sb,lt,pc,ww,NA,NA,NA,di,mr
522,15,13,195,budget,2,north,east,west,15500,sb,lt,mc,NA,bb,NA,NA,di,mr
523,13,12.25,159.25,budget,2,east,north,west,15800,sb,mt,pc,fw,bb,NA,NA,di,mr
524,12.75,9,114.75,luxury,1,east,south,NA,45000,db,mt,ac,ww,wb,bt,NA,di,mr
525,14.75,11.5,169.62,luxury,2,south,west,east,47000,db,mt,ac,ww,NA,NA,NA,di,NA
526,13.75,10.25,140.94,budget,1,north,east,NA,20000,db,mt,mc,hw,wb,NA,NA,di,NA
